NC_000001.11	chr1
NT_187430.1	chrUn_KI270508v1
NT_187428.1	chrUn_KI270509v1
NT_187427.1	chrUn_KI270510v1
NT_187435.1	chrUn_KI270511v1
NT_187432.1	chrUn_KI270512v1
NT_187436.1	chrUn_KI270515v1
NT_187431.1	chrUn_KI270516v1
NT_187438.1	chrUn_KI270517v1
NT_187429.1	chrUn_KI270518v1
NT_187433.1	chrUn_KI270519v1
NT_187496.1	chrUn_KI270521v1
NT_187434.1	chrUn_KI270522v1
NT_187440.1	chrUn_KI270528v1
NT_187439.1	chrUn_KI270529v1
NT_187441.1	chrUn_KI270530v1
NT_187443.1	chrUn_KI270538v1
NT_187442.1	chrUn_KI270539v1
NT_187444.1	chrUn_KI270544v1
NT_187445.1	chrUn_KI270548v1
NT_187450.1	chrUn_KI270579v1
NT_187448.1	chrUn_KI270580v1
NT_187449.1	chrUn_KI270581v1
NT_187454.1	chrUn_KI270582v1
NT_187446.1	chrUn_KI270583v1
NT_187453.1	chrUn_KI270584v1
NT_187447.1	chrUn_KI270587v1
NT_187455.1	chrUn_KI270588v1
NT_187451.1	chrUn_KI270589v1
NT_187452.1	chrUn_KI270590v1
NT_187457.1	chrUn_KI270591v1
NT_187456.1	chrUn_KI270593v1
NT_187497.1	chrUn_KI270741v1
NT_187513.1	chrUn_KI270742v1
NT_187498.1	chrUn_KI270743v1
NT_187499.1	chrUn_KI270744v1
NT_187500.1	chrUn_KI270745v1
NT_187501.1	chrUn_KI270746v1
NT_187502.1	chrUn_KI270747v1
NT_187503.1	chrUn_KI270748v1
NT_187504.1	chrUn_KI270749v1
NT_187505.1	chrUn_KI270750v1
NT_187506.1	chrUn_KI270751v1
NT_187507.1	chrUn_KI270752v1
NT_187508.1	chrUn_KI270753v1
NT_187509.1	chrUn_KI270754v1
NT_187510.1	chrUn_KI270755v1
NT_187511.1	chrUn_KI270756v1
NT_187512.1	chrUn_KI270757v1
NC_012920.1	chrM
